ID	Slp_C	Slp_S	TX_Time	Send_TS
48	5000	5058	27		1395841095321038
49	5000	5063	55		1395841095326128
0	10000	6489471	72		1395841101815654
1	10000	10057	65		1395841101825783
2	10000	10066	93		1395841101835914
3	10000	10044	36		1395841101846051
4	10000	10123	142		1395841101856210
5	10000	10030	126		1395841101866382
6	10000	10030	66		1395841101876538
7	10000	10050	45		1395841101886654
8	10000	10062	69		1395841101896761
9	10000	10059	54		1395841101906889
10	10000	10057	84		1395841101917000
11	10000	10021	37		1395841101927105
12	10000	10042	54		1395841101937184
13	10000	10063	70		1395841101947301
14	10000	10035	70		1395841101957406
15	10000	10028	59		1395841101967504
16	10000	10114	140		1395841101977677
17	10000	10006	63		1395841101987823
18	10000	10049	70		1395841101997935
19	10000	10053	82		1395841102008058
20	10000	10029	70		1395841102018169
21	10000	10091	139		1395841102028330
22	10000	10018	41		1395841102038487
23	10000	10091	110		1395841102048619
24	10000	10034	31		1395841102058763
25	10000	10057	39		1395841102068851
26	10000	10087	142		1395841102078977
27	10000	10092	64		1395841102089211
28	10000	10057	67		1395841102099332
29	10000	10068	94		1395841102109467
30	10000	10046	128		1395841102119607
31	10000	10086	86		1395841102129821
32	10000	10081	94		1395841102139988
33	10000	10144	126		1395841102150226
34	10000	10114	110		1395841102160466
35	10000	10043	58		1395841102170619
36	10000	10074	87		1395841102180751
37	10000	10052	41		1395841102190890
38	10000	10077	102		1395841102201008
39	10000	10070	104		1395841102211180
40	10000	10035	67		1395841102221319
41	10000	10041	73		1395841102231427
42	10000	10080	116		1395841102241580
43	10000	10017	76		1395841102251713
44	10000	10058	135		1395841102261847
45	10000	10017	77		1395841102271999
46	10000	10045	62		1395841102282121
47	10000	10068	127		1395841102292251
48	10000	10029	107		1395841102302407
49	10000	10105	144		1395841102312619
