ID	Slp_C	Slp_S	TX_Time	Send_TS
42	10000	10052	129		1395841604380205
43	10000	10090	141		1395841604390424
44	10000	10060	140		1395841604400625
45	10000	10054	126		1395841604410819
46	10000	10089	163		1395841604421034
47	10000	10057	140		1395841604431254
48	10000	10044	117		1395841604441438
49	10000	10093	140		1395841604451648
0	25000	4430956	208		1395841608882744
1	25000	25105	94		1395841608908057
2	25000	25121	109		1395841608933272
3	25000	25049	71		1395841608958430
4	25000	25084	110		1395841608983585
5	25000	25082	100		1395841609008777
6	25000	25093	170		1395841609033970
7	25000	25054	75		1395841609059194
8	25000	25136	68		1395841609084405
9	25000	25121	69		1395841609109594
10	25000	25130	112		1395841609134793
11	25000	25087	95		1395841609159992
12	25000	25118	111		1395841609185205
13	25000	25115	110		1395841609210431
14	25000	25097	109		1395841609235638
15	25000	25106	115		1395841609260853
16	25000	25109	109		1395841609286077
17	25000	25047	67		1395841609311233
18	25000	25109	110		1395841609336409
19	25000	25071	110		1395841609361590
20	25000	25116	167		1395841609386816
21	25000	25092	138		1395841609412075
22	25000	25033	123		1395841609437246
23	25000	25036	105		1395841609462405
24	25000	25119	139		1395841609487629
25	25000	25082	136		1395841609512850
26	25000	25035	83		1395841609538021
27	25000	25108	136		1395841609563212
28	25000	25031	106		1395841609588379
29	25000	25098	124		1395841609613583
30	25000	25116	110		1395841609638823
31	25000	25081	88		1395841609664014
32	25000	25080	84		1395841609689182
33	25000	25109	138		1395841609714375
34	25000	25082	129		1395841609739595
35	25000	25056	95		1395841609764780
36	25000	25065	109		1395841609789940
37	25000	25053	87		1395841609815102
38	25000	25108	128		1395841609840297
39	25000	25080	102		1395841609865505
40	25000	25049	66		1395841609890656
41	25000	25121	141		1395841609915843
42	25000	25038	119		1395841609941022
43	25000	25071	139		1395841609966212
44	25000	25046	137		1395841609991397
45	25000	25035	114		1395841610016569
46	25000	25018	46		1395841610041701
47	25000	25119	91		1395841610066866
48	25000	25089	112		1395841610092046
49	25000	25033	94		1395841610117191
0	50000	3631644	255		1395841613748929
1	50000	50035	135		1395841613799219
2	50000	50083	137		1395841613849437
3	50000	50026	134		1395841613899600
4	50000	50085	142		1395841613949819
5	50000	50082	140		1395841614000043
6	50000	50082	141		1395841614050265
7	50000	50080	138		1395841614100486
8	50000	50031	109		1395841614150655
9	50000	50098	142		1395841614200862
10	50000	50028	136		1395841614251032
11	50000	50047	156		1395841614301215
12	50000	50090	140		1395841614351461
13	50000	50086	139		1395841614401687
14	50000	50073	140		1395841614451899
15	50000	50086	143		1395841614502125
16	50000	50082	142		1395841614552350
17	50000	50063	162		1395841614602555
18	50000	50082	140		1395841614652799
19	50000	50051	159		1395841614702990
20	50000	50086	113		1395841614753235
21	50000	50097	145		1395841614803445
22	50000	50064	105		1395841614853654
23	50000	50115	111		1395841614903874
24	50000	50096	108		1395841614954081
25	50000	50038	48		1395841615004227
26	50000	50060	85		1395841615054335
27	50000	50053	112		1395841615104473
28	50000	50074	86		1395841615154659
29	50000	50078	101		1395841615204823
30	50000	50085	135		1395841615255009
31	50000	50058	129		1395841615305202
32	50000	50085	139		1395841615355416
33	50000	50070	137		1395841615405625
34	50000	50082	140		1395841615455844
35	50000	50039	106		1395841615506023
36	50000	50098	126		1395841615556227
37	50000	50056	137		1395841615606409
38	50000	50079	137		1395841615656625
39	50000	50065	140		1395841615706827
40	50000	50077	144		1395841615757044
41	50000	50057	140		1395841615807245
42	50000	50049	96		1395841615857434
43	50000	50110	138		1395841615907640
44	50000	50045	116		1395841615957823
45	50000	50094	141		1395841616008033
46	50000	50080	43		1395841616058254
47	50000	50081	140		1395841616108378
48	50000	50008	91		1395841616158526
49	50000	50107	120		1395841616208724
